Hero,Appeared With
POLARIS/LORNA DANE,"LONGSHOT, MR. SINISTER/NATHAN , MARVEL GIRL/JEAN GRE, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, MALICE IV, CYCLOPS/SCOTT SUMMER, TILBY, TRISH/PATRICI, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , SUMMERS, NATHAN CHRI, GATEWAY, DAZZLER II/ALLISON B, N'ASTIRH, PSYLOCKE/ELISABETH B, ROGUE /"
MR. SINISTER/NATHAN ,"LONGSHOT, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, MALICE IV, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , SUMMERS, NATHAN CHRI, POLARIS/LORNA DANE, DAZZLER II/ALLISON B, N'ASTIRH, PSYLOCKE/ELISABETH B, ROGUE /"
N'ASTIRH,"LONGSHOT, MR. SINISTER/NATHAN , STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, MALICE IV, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , SUMMERS, NATHAN CHRI, POLARIS/LORNA DANE, DAZZLER II/ALLISON B, PSYLOCKE/ELISABETH B, ROGUE /"
GATEWAY,"HAWKSHAW, STORM/ORORO MUNROE S, MAGIK/ILLYANA RASPUT, DAZZLER II/ALLISON B, S'YM, ROGUE /, MAGNETO/MAGNUS/ERIC , CONOVER, REV. WILLIA, LONGSHOT, SUMMERS, MADELYNE MA, TILBY, TRISH/PATRICI, HAVOK/ALEX SUMMERS , CANNONBALL II/SAM GU, PIPELINE/CORMICK GRI, CONOVER, HANNAH, WOLFSBANE/RAHNE SINC, WARLOCK III, MARVEL GIRL/JEAN GRE, MIRAGE II/DANIELLE M, COLOSSUS II/PETER RA, PSYLOCKE/ELISABETH B, PUNCHOUT, SUNSPOT/ROBERTO DACO, RANSOME, JENNIFER AM, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , POLARIS/LORNA DANE"
"TILBY, TRISH/PATRICI","CONOVER, REV. WILLIA, LONGSHOT, MARVEL GIRL/JEAN GRE, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, CYCLOPS/SCOTT SUMMER, COLOSSUS II/PETER RA, POLARIS/LORNA DANE, HAVOK/ALEX SUMMERS , GATEWAY, CONOVER, HANNAH, DAZZLER II/ALLISON B, PSYLOCKE/ELISABETH B, S'YM, ROGUE /"
"CONOVER, REV. WILLIA","LONGSHOT, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, TILBY, TRISH/PATRICI, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , GATEWAY, CONOVER, HANNAH, DAZZLER II/ALLISON B, PSYLOCKE/ELISABETH B, S'YM, ROGUE /"
"CONOVER, HANNAH","CONOVER, REV. WILLIA, LONGSHOT, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, TILBY, TRISH/PATRICI, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , GATEWAY, DAZZLER II/ALLISON B, PSYLOCKE/ELISABETH B, S'YM, ROGUE /"
WOLFSBANE/RAHNE SINC,"MAGNETO/MAGNUS/ERIC , SUNSPOT/ROBERTO DACO, LONGSHOT, ROGUE /, STORM/ORORO MUNROE S, SUMMERS, MADELYNE MA, WOLVERINE/LOGAN , MAGIK/ILLYANA RASPUT, MIRAGE II/DANIELLE M, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , CANNONBALL II/SAM GU, GATEWAY, DAZZLER II/ALLISON B, PSYLOCKE/ELISABETH B, S'YM, WARLOCK III"
WARLOCK III,"MAGNETO/MAGNUS/ERIC , SUNSPOT/ROBERTO DACO, LONGSHOT, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, MAGIK/ILLYANA RASPUT, MIRAGE II/DANIELLE M, PSYLOCKE/ELISABETH B, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , CANNONBALL II/SAM GU, GATEWAY, DAZZLER II/ALLISON B, WOLFSBANE/RAHNE SINC, S'YM, ROGUE /"
SUNSPOT/ROBERTO DACO,"MAGNETO/MAGNUS/ERIC , LONGSHOT, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, MAGIK/ILLYANA RASPUT, WARLOCK III, MIRAGE II/DANIELLE M, PSYLOCKE/ELISABETH B, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , CANNONBALL II/SAM GU, GATEWAY, DAZZLER II/ALLISON B, WOLFSBANE/RAHNE SINC, S'YM, ROGUE /"
MAGIK/ILLYANA RASPUT,"MAGNETO/MAGNUS/ERIC , SUNSPOT/ROBERTO DACO, LONGSHOT, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, WARLOCK III, MIRAGE II/DANIELLE M, PSYLOCKE/ELISABETH B, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , CANNONBALL II/SAM GU, GATEWAY, DAZZLER II/ALLISON B, WOLFSBANE/RAHNE SINC, S'YM, ROGUE /"
MAGNETO/MAGNUS/ERIC ,"SUNSPOT/ROBERTO DACO, LONGSHOT, ROGUE /, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, MAGIK/ILLYANA RASPUT, MIRAGE II/DANIELLE M, PSYLOCKE/ELISABETH B, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , CANNONBALL II/SAM GU, GATEWAY, DAZZLER II/ALLISON B, WOLFSBANE/RAHNE SINC, WARLOCK III"
CANNONBALL II/SAM GU,"MAGNETO/MAGNUS/ERIC , SUNSPOT/ROBERTO DACO, LONGSHOT, ROGUE /, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, MAGIK/ILLYANA RASPUT, MIRAGE II/DANIELLE M, PSYLOCKE/ELISABETH B, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , GATEWAY, DAZZLER II/ALLISON B, WOLFSBANE/RAHNE SINC, S'YM, WARLOCK III"
MIRAGE II/DANIELLE M,"MAGNETO/MAGNUS/ERIC , SUNSPOT/ROBERTO DACO, LONGSHOT, ROGUE /, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, MAGIK/ILLYANA RASPUT, PSYLOCKE/ELISABETH B, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , CANNONBALL II/SAM GU, GATEWAY, DAZZLER II/ALLISON B, WOLFSBANE/RAHNE SINC, S'YM, WARLOCK III"
S'YM,"STORM/ORORO MUNROE S, MAGIK/ILLYANA RASPUT, GATEWAY, DAZZLER II/ALLISON B, ROGUE /, CONOVER, REV. WILLIA, LONGSHOT, SUMMERS, MADELYNE MA, TILBY, TRISH/PATRICI, HAVOK/ALEX SUMMERS , CANNONBALL II/SAM GU, CONOVER, HANNAH, WOLFSBANE/RAHNE SINC, WARLOCK III, MIRAGE II/DANIELLE M, COLOSSUS II/PETER RA, PSYLOCKE/ELISABETH B, SUNSPOT/ROBERTO DACO, WOLVERINE/LOGAN "
"GRIFFITH, D.W.","MACE, CAGE, LUKE/CARL LUCA"
MACE,"CAGE, LUKE/CARL LUCA, GRIFFITH, D.W."
"CAGE, LUKE/CARL LUCA","MACE, IRON MAN/TONY STARK , GRIFFITH, D.W."
PIPELINE/CORMICK GRI,"HAWKSHAW, PUNCHOUT, LONGSHOT, RANSOME, JENNIFER AM, STORM/ORORO MUNROE S, SUMMERS, MADELYNE MA, WOLVERINE/LOGAN , COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , GATEWAY, DAZZLER II/ALLISON B, PSYLOCKE/ELISABETH B, ROGUE /"
PUNCHOUT,"HAWKSHAW, LONGSHOT, RANSOME, JENNIFER AM, STORM/ORORO MUNROE S, SUMMERS, MADELYNE MA, WOLVERINE/LOGAN , COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , GATEWAY, PIPELINE/CORMICK GRI, DAZZLER II/ALLISON B, PSYLOCKE/ELISABETH B, ROGUE /"
HAWKSHAW,"PUNCHOUT, LONGSHOT, RANSOME, JENNIFER AM, STORM/ORORO MUNROE S, WOLVERINE/LOGAN , SUMMERS, MADELYNE MA, COLOSSUS II/PETER RA, HAVOK/ALEX SUMMERS , GATEWAY, PIPELINE/CORMICK GRI, DAZZLER II/ALLISON B, PSYLOCKE/ELISABETH B, ROGUE /"
MOLECULE MAN/OWEN RE,"INVISIBLE WOMAN/SUE , JARVIS, EDWIN , THING/BENJAMIN J. GR, MR. FANTASTIC/REED R, IRON MAN/TONY STARK , SILVER SURFER/NORRIN, CAPTAIN AMERICA, HUMAN TORCH/JOHNNY S, TIGRA/GREER NELSON, THOR/DR. DONALD BLAK"
"JARVIS, EDWIN ","CARTER, SHARON, MR. FANTASTIC/REED R, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , JUBILEE/JUBILATION L, STORM/ORORO MUNROE S, JOCASTA, ARBOGAST, BAMBI, FERRARI, CONNIE, DRAX/ARTHUR DOUGLAS, DAZZLER II/ALLISON B, PROTOCIDE/PRIVATE CL, BILLUPS, AGENT, FURY, COL. NICHOLAS , MOONDRAGON/HEATHER D, SILVER SURFER/NORRIN, WASP/JANET VAN DYNE , HARDY, MORGAN MACNEI, STANKOWICZ, FABIAN, HUMAN TORCH/JOHNNY S, RAMIREZ, JAVIER, GAMBIT/REMY LEBEAU , PAYGE, REEVA, ANGEL/WARREN KENNETH, KAUR, BENAZIR, SOUTHERN, CANDY, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, CAPTAIN AMERICA, SHAW, SHINOBI, GHOST RIDER II/JOHNN, BLACK WIDOW/NATASHA , BISHOP /, EGGHEAD/PROF. ELIHAS, ANT-MAN/DR. HENRY J., KINE, BENEDICT, ICEMAN/ROBERT BOBBY , VISION , MANIPULATOR/, MOLECULE MAN/OWEN RE, HERCULES [GREEK GOD], SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , STINGER II/, THING/BENJAMIN J. GR, COUNT NEFARIA, LUCHI, BEAST/HENRY &HANK& P, HAWK, STARR, TRIXIE TRISH, BLACK PANTHER/T'CHAL, PROFESSOR X/CHARLES , THOR/DR. DONALD BLAK"
GHOST RIDER II/JOHNN,"JARVIS, EDWIN , IRON MAN/TONY STARK , CAPTAIN AMERICA, WASP/JANET VAN DYNE , ANT-MAN/DR. HENRY J., ANGEL/WARREN KENNETH, SOUTHERN, CANDY, TIGRA/GREER NELSON, THOR/DR. DONALD BLAK"
ANT-MAN/DR. HENRY J.,"D'ANGELO, LIEUTENANT, MR. FANTASTIC/REED R, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , DR. OCTOPUS/OTTO OCT, JOCASTA, ARBOGAST, BAMBI, LOKI [ASGARDIAN], MAD VIKING/KNUT CAIN, DAZZLER II/ALLISON B, GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , SANDMAN/WILLIAM BAKE, DAREDEVIL/MATT MURDO, SUNDOWN/DR. DAVE LOW, PARKER, MAY, SUB-MARINER/NAMOR MA, MOONDRAGON/HEATHER D, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , STANKOWICZ, FABIAN, HUMAN TORCH/JOHNNY S, MCKEEVER, TINY, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, SOUTHERN, CANDY, WATSON, ANNA, TIGRA/GREER NELSON, CAPTAIN AMERICA, BROMWELL, DR., GHOST RIDER II/JOHNN, MARVEL GIRL/JEAN GRE, BLACK WIDOW/NATASHA , EGGHEAD/PROF. ELIHAS, ICEMAN/ROBERT BOBBY , DELPHI, LEEDS, NED, VISION , WONG, JAMESON, J. JONAH, IONELLO, JASON, HERCULES [GREEK GOD], LEEDS, BETTY BRANT, SCARLET WITCH/WANDA , THOMPSON, EUGENE FLA, JARVIS, EDWIN , INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, STINGER II/, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, HAWK, SPIDER-MAN/PETER PAR, KRAVEN THE HUNTER/SE, STARR, TRIXIE TRISH, HOGAN, HAROLD J. HAP, BLACK PANTHER/T'CHAL, THOR/DR. DONALD BLAK"
"ARBOGAST, BAMBI","JARVIS, EDWIN , IRON MAN/TONY STARK , CAPTAIN AMERICA, EGGHEAD/PROF. ELIHAS, WASP/JANET VAN DYNE , ANT-MAN/DR. HENRY J., STANKOWICZ, FABIAN, STARR, TRIXIE TRISH, THOR/DR. DONALD BLAK"
EGGHEAD/PROF. ELIHAS,"JARVIS, EDWIN , IRON MAN/TONY STARK , CAPTAIN AMERICA, WASP/JANET VAN DYNE , ANT-MAN/DR. HENRY J., ARBOGAST, BAMBI, STANKOWICZ, FABIAN, STARR, TRIXIE TRISH, THOR/DR. DONALD BLAK"
"STARR, TRIXIE TRISH","JARVIS, EDWIN , IRON MAN/TONY STARK , CAPTAIN AMERICA, WASP/JANET VAN DYNE , ANT-MAN/DR. HENRY J., ARBOGAST, BAMBI, EGGHEAD/PROF. ELIHAS, STANKOWICZ, FABIAN, THOR/DR. DONALD BLAK"
"STANKOWICZ, FABIAN","JARVIS, EDWIN , IRON MAN/TONY STARK , CAPTAIN AMERICA, EGGHEAD/PROF. ELIHAS, ARBOGAST, BAMBI, WASP/JANET VAN DYNE , ANT-MAN/DR. HENRY J., STARR, TRIXIE TRISH, THOR/DR. DONALD BLAK"
HERCULES [GREEK GOD],"MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , JOCASTA, DAZZLER II/ALLISON B, THOR/DR. DONALD BLAK, MOONDRAGON/HEATHER D, WASP/JANET VAN DYNE , ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, CAPTAIN AMERICA, ANT-MAN/DR. HENRY J., ICEMAN/ROBERT BOBBY , VISION , SCARLET WITCH/WANDA , JARVIS, EDWIN , BEAST/HENRY &HANK& P, WOLVERINE/LOGAN , HAWK, BLACK PANTHER/T'CHAL, BLACK WIDOW/NATASHA "
BLACK WIDOW/NATASHA ,"MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , JOCASTA, DAZZLER II/ALLISON B, MOONDRAGON/HEATHER D, WASP/JANET VAN DYNE , ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, CAPTAIN AMERICA, ANT-MAN/DR. HENRY J., ICEMAN/ROBERT BOBBY , VISION , HERCULES [GREEK GOD], SCARLET WITCH/WANDA , JARVIS, EDWIN , BEAST/HENRY &HANK& P, HAWK, BLACK PANTHER/T'CHAL, THOR/DR. DONALD BLAK"
MOON KNIGHT/MARC SPE,"JESTER/JONATHAN POWE, IRON MAN/TONY STARK , JOCASTA, SAMUELS, ALRAUNE, MARLENE, DAZZLER II/ALLISON B, MASTERS, ALICIA REIS, THOR/DR. DONALD BLAK, DAREDEVIL/MATT MURDO, BUSHMAN, RAOUL, LANDERS, RAY, FRENCHIE/JEAN-PAUL D, MOONDRAGON/HEATHER D, WASP/JANET VAN DYNE , ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, CAPTAIN AMERICA, ANT-MAN/DR. HENRY J., NEDDA, ICEMAN/ROBERT BOBBY , VISION , LANDERS, GENA, HERCULES [GREEK GOD], SCARLET WITCH/WANDA , JARVIS, EDWIN , THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, LANDERS, RICKY, CRAWLEY, BETRAND, HAWK, MANOLIS, LT. NICK, BLACK PANTHER/T'CHAL, BLACK WIDOW/NATASHA "
DRAX/ARTHUR DOUGLAS,"CLEA, JARVIS, EDWIN , HELA [ASGARDIAN], MOONDRAGON/HEATHER D, IRON MAN/TONY STARK , CERBERUS, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , SCARLET WITCH/WANDA , PIP/PRINCE GOFERN, DR. DRUID/ANTHONY LU, RINTRAH, THOR/DR. DONALD BLAK, DR. STRANGE/STEPHEN , FIRELORD/PYREUS KRIL, CAPTAIN AMERICA"
"HARDY, MORGAN MACNEI","JARVIS, EDWIN , IRON MAN/TONY STARK , WASP/JANET VAN DYNE , THOR/DR. DONALD BLAK, CAPTAIN AMERICA"
SPIDER-MAN CLONE/BEN,"ROBERTSON, JOE, TOWER, BLAKE, TURBO II (A)/MICHIKO, TRAINER, DR. SEWARD, BLACK CAT/FELICIA HA, GREEN GOBLIN IV/PHIL, FIRESTAR/ANGELICA JO, D'SPAYRE, JACK, PARKER, MAY, JUSTICE II/VANCE AST, WATSON, ANNA, GEE/ALEX POWER, WATSON-PARKER, MARY , CAPUTO, DR. JULIA, HINDSIGHT LAD/CARLTO, TREVANE, DET. CONNOR, SPEEDBALL II/DARRION, GRIM HUNTER/KRAVINOF, BUCKNER, GRANT, JAMESON, J. JONAH, LEEDS, BETTY BRANT, JACKAL/MILES WARREN, BYRNES, GAYLE WATSON, KAINE, THOMPSON, EUGENE FLA, STACY, GWEN (CLONE), STUNNER/ANGELINA BRA, GREGOR, SPIDER-MAN/PETER PAR, SPIDERCIDE, GUARDIAN IV, TRAVELLER, DR. JUDAS, ELLIS, KEN, PROUST, PAUL, LOCKER, MR., RAVEN, LT. JACOB, TOMBSTONE/LONNIE THO"
KAINE,"ROBERTSON, JOE, TOWER, BLAKE, TRAINER, DR. SEWARD, PUNISHER II/FRANK CA, JACK, PARKER, MAY, WATSON, ANNA, WATSON-PARKER, MARY , CAPUTO, DR. JULIA, TREVANE, DET. CONNOR, GRIM HUNTER/KRAVINOF, BUCKNER, GRANT, JAMESON, J. JONAH, LEEDS, BETTY BRANT, JACKAL/MILES WARREN, BYRNES, GAYLE WATSON, THOMPSON, EUGENE FLA, STUNNER/ANGELINA BRA, SPIDER-MAN CLONE/BEN, GREGOR, SPIDER-MAN/PETER PAR, SPIDERCIDE, GUARDIAN IV, TRAVELLER, DR. JUDAS, ELLIS, KEN, LOCKER, MR., RAVEN, LT. JACOB, TOMBSTONE/LONNIE THO"
GREGOR,"KAINE, SPIDER-MAN CLONE/BEN, TREVANE, DET. CONNOR, GRIM HUNTER/KRAVINOF, RAVEN, LT. JACOB"
"RAVEN, LT. JACOB","ROBERTSON, JOE, TOWER, BLAKE, TRAINER, DR. SEWARD, JACK, PARKER, MAY, WATSON, ANNA, WATSON-PARKER, MARY , CAPUTO, DR. JULIA, TREVANE, DET. CONNOR, GRIM HUNTER/KRAVINOF, BUCKNER, GRANT, JAMESON, J. JONAH, LEEDS, BETTY BRANT, JACKAL/MILES WARREN, KAINE, THOMPSON, EUGENE FLA, STUNNER/ANGELINA BRA, SPIDER-MAN CLONE/BEN, GREGOR, SPIDER-MAN/PETER PAR, SPIDERCIDE, GUARDIAN IV, TRAVELLER, DR. JUDAS, ELLIS, KEN, LOCKER, MR."
"TREVANE, DET. CONNOR","ROBERTSON, JOE, TRAINER, DR. SEWARD, JACK, PARKER, MAY, WATSON-PARKER, MARY , CAPUTO, DR. JULIA, GRIM HUNTER/KRAVINOF, BUCKNER, GRANT, JAMESON, J. JONAH, LEEDS, BETTY BRANT, JACKAL/MILES WARREN, KAINE, THOMPSON, EUGENE FLA, STUNNER/ANGELINA BRA, SPIDER-MAN CLONE/BEN, GREGOR, SPIDER-MAN/PETER PAR, SPIDERCIDE, ELLIS, KEN, RAVEN, LT. JACOB"
GRIM HUNTER/KRAVINOF,"KAINE, WATSON-PARKER, MARY , PARKER, MAY, SPIDER-MAN CLONE/BEN, TREVANE, DET. CONNOR, GREGOR, SPIDER-MAN/PETER PAR, ELLIS, KEN, RAVEN, LT. JACOB, LEEDS, BETTY BRANT, TOMBSTONE/LONNIE THO, BYRNES, GAYLE WATSON"
"ELLIS, KEN","KAINE, WATSON-PARKER, MARY , PARKER, MAY, ROBERTSON, JOE, STUNNER/ANGELINA BRA, TRAINER, DR. SEWARD, SPIDER-MAN CLONE/BEN, TREVANE, DET. CONNOR, SPIDER-MAN/PETER PAR, SPIDERCIDE, GRIM HUNTER/KRAVINOF, BUCKNER, GRANT, JAMESON, J. JONAH, RAVEN, LT. JACOB, LEEDS, BETTY BRANT, TOMBSTONE/LONNIE THO, BYRNES, GAYLE WATSON"
"BYRNES, GAYLE WATSON","KAINE, PARKER, MAY, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, ELLIS, KEN, GRIM HUNTER/KRAVINOF, LEEDS, BETTY BRANT, TOMBSTONE/LONNIE THO, WATSON-PARKER, MARY "
TOMBSTONE/LONNIE THO,"KAINE, PARKER, MAY, BYRNES, GAYLE WATSON, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, ELLIS, KEN, GRIM HUNTER/KRAVINOF, LEEDS, BETTY BRANT, WATSON-PARKER, MARY "
SPIDERCIDE,"THOMPSON, EUGENE FLA, KAINE, PARKER, MAY, CAPUTO, DR. JULIA, ROBERTSON, JOE, STUNNER/ANGELINA BRA, TRAINER, DR. SEWARD, SPIDER-MAN CLONE/BEN, TREVANE, DET. CONNOR, SPIDER-MAN/PETER PAR, LEEDS, BETTY BRANT, ELLIS, KEN, BUCKNER, GRANT, JAMESON, J. JONAH, RAVEN, LT. JACOB, JACKAL/MILES WARREN, JACK, WATSON-PARKER, MARY "
JACKAL/MILES WARREN,"PUNISHER II/FRANK CA, GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, JACK, PARKER, MAY, VULTURE II/BLACKIE D, WATSON, ANNA, WATSON-PARKER, MARY , CAPUTO, DR. JULIA, TREVANE, DET. CONNOR, JAMESON, J. JONAH, LEEDS, BETTY BRANT, THOMPSON, EUGENE FLA, KAINE, OSBORN, HARRY, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, SPIDERCIDE, STACY, CAPT. GEORGE, RAVEN, LT. JACOB, STACY, GWEN"
JACK,"THOMPSON, EUGENE FLA, KAINE, PARKER, MAY, CAPUTO, DR. JULIA, ROBERTSON, JOE, SPIDER-MAN CLONE/BEN, TREVANE, DET. CONNOR, SPIDER-MAN/PETER PAR, SPIDERCIDE, GUARDIAN IV, WATSON, ANNA, RAVEN, LT. JACOB, JAMESON, J. JONAH, JACKAL/MILES WARREN, WATSON-PARKER, MARY "
"CAPUTO, DR. JULIA","THOMPSON, EUGENE FLA, KAINE, PARKER, MAY, SPIDER-MAN CLONE/BEN, TREVANE, DET. CONNOR, SPIDER-MAN/PETER PAR, SPIDERCIDE, JACK, RAVEN, LT. JACOB, JACKAL/MILES WARREN"
GUARDIAN IV,"KAINE, ROBERTSON, JOE, PARKER, MAY, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, WATSON, ANNA, RAVEN, LT. JACOB, JAMESON, J. JONAH, JACK, WATSON-PARKER, MARY "
GREEN GOBLIN IV/PHIL,"SPIDER-MAN/PETER PAR, STACY, GWEN (CLONE), SPIDER-MAN CLONE/BEN, WATSON-PARKER, MARY "
"STACY, GWEN (CLONE)","SPIDER-MAN/PETER PAR, GREEN GOBLIN IV/PHIL, SPIDER-MAN CLONE/BEN, WATSON-PARKER, MARY "
"BUCKNER, GRANT","KAINE, ROBERTSON, JOE, STUNNER/ANGELINA BRA, TRAINER, DR. SEWARD, SPIDER-MAN CLONE/BEN, TREVANE, DET. CONNOR, SPIDER-MAN/PETER PAR, SPIDERCIDE, ELLIS, KEN, JAMESON, J. JONAH, RAVEN, LT. JACOB, LEEDS, BETTY BRANT, WATSON-PARKER, MARY "
STUNNER/ANGELINA BRA,"KAINE, ROBERTSON, JOE, TOWER, BLAKE, TRAINER, DR. SEWARD, SPIDER-MAN CLONE/BEN, TREVANE, DET. CONNOR, WATSON, ANNA, SPIDER-MAN/PETER PAR, SPIDERCIDE, TRAVELLER, DR. JUDAS, ELLIS, KEN, BUCKNER, GRANT, LOCKER, MR., JAMESON, J. JONAH, RAVEN, LT. JACOB, LEEDS, BETTY BRANT, WATSON-PARKER, MARY "
"TRAINER, DR. SEWARD","KAINE, ROBERTSON, JOE, STUNNER/ANGELINA BRA, SPIDER-MAN CLONE/BEN, TREVANE, DET. CONNOR, SPIDER-MAN/PETER PAR, SPIDERCIDE, ELLIS, KEN, BUCKNER, GRANT, JAMESON, J. JONAH, RAVEN, LT. JACOB, LEEDS, BETTY BRANT, WATSON-PARKER, MARY "
"TRAVELLER, DR. JUDAS","KAINE, TOWER, BLAKE, STUNNER/ANGELINA BRA, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, LOCKER, MR., WATSON, ANNA, RAVEN, LT. JACOB, WATSON-PARKER, MARY "
"TOWER, BLAKE","KAINE, STUNNER/ANGELINA BRA, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, HOBGOBLIN III/LEFTY , TRAVELLER, DR. JUDAS, JAMESON, J. JONAH, HOBGOBLIN II/RODERIC, LOCKER, MR., WATSON, ANNA, RAVEN, LT. JACOB, LEEDS, BETTY BRANT, WATSON-PARKER, MARY "
"LOCKER, MR.","KAINE, TOWER, BLAKE, STUNNER/ANGELINA BRA, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, TRAVELLER, DR. JUDAS, WATSON, ANNA, RAVEN, LT. JACOB, WATSON-PARKER, MARY "
HINDSIGHT LAD/CARLTO,"TURBO II (A)/MICHIKO, SPIDER-MAN CLONE/BEN, SPEEDBALL II/DARRION, SPIDER-MAN/PETER PAR, JUSTICE II/VANCE AST, FIRESTAR/ANGELICA JO, GEE/ALEX POWER, WATSON-PARKER, MARY "
SPEEDBALL II/DARRION,"HINDSIGHT LAD/CARLTO, TURBO II (A)/MICHIKO, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, JUSTICE II/VANCE AST, FIRESTAR/ANGELICA JO, GEE/ALEX POWER, WATSON-PARKER, MARY "
GEE/ALEX POWER,"HINDSIGHT LAD/CARLTO, TURBO II (A)/MICHIKO, SPIDER-MAN CLONE/BEN, SPEEDBALL II/DARRION, SPIDER-MAN/PETER PAR, JUSTICE II/VANCE AST, FIRESTAR/ANGELICA JO, WATSON-PARKER, MARY "
TURBO II (A)/MICHIKO,"HINDSIGHT LAD/CARLTO, SPIDER-MAN CLONE/BEN, SPEEDBALL II/DARRION, SPIDER-MAN/PETER PAR, JUSTICE II/VANCE AST, FIRESTAR/ANGELICA JO, GEE/ALEX POWER, WATSON-PARKER, MARY "
BLACK CAT/FELICIA HA,"BLOODY MARY, HOCHBERG, ROGER, BOUNTY II, OSBORN, LIZ ALLAN, SLOAN, DR., D'SPAYRE, WATSON-PARKER, MARY , URICH, BEN, HOBGOBLIN III/LEFTY , UATU, LIZARD/DR. CURTIS CO, JAMESON, J. JONAH, OSBORN, HARRY, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, BANNON, LANCE, HOBGOBLIN II/RODERIC, PROUST, PAUL, HYDROMAN/MORRIE BENC, ANDERSON, BAXTER"
D'SPAYRE,"BLACK CAT/FELICIA HA, PHOBOS, NOX, NIGHTMARE/EDVARD HAB, DR. STRANGE/STEPHEN , RINTRAH, DEIMOS, WATSON-PARKER, MARY , CLEA, WOLFE, SARA, SCARECROW II, CHANG, IMEI, WONG, FEAR EATER/KKALLAKKU, SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, LURKING UNKNOWN, PROUST, PAUL, DWELLER IN DARKNESS"
"PROUST, PAUL","SPIDER-MAN CLONE/BEN, BLACK CAT/FELICIA HA, SPIDER-MAN/PETER PAR, D'SPAYRE, WATSON-PARKER, MARY "
